address,amount
stars1cxxnrmffzjd7mqhh7j3ygm2u0ap75njulaq0ar,1
stars1km7x5wudfz5knkuuyrj7jrr4t7l9ccv25fuqu5,1
stars1fkpt4pyfhalc2uq32rhzh685arnkkscqhkhme2,1
stars1sxnqd6nmq29m60rjtqqk8t07qm444ytgvxltrd,1
stars1hdtdwswdkg3x6relg9tsu06plh38a0r3ggjclf,1
stars14maqgce56gy9kn8yyprvdkpey5dgft3ur7xfql,1
stars1kzzxtjz2dt7ukna9pcwcr76n0zz6t0d6hnyl9d,1
stars12p7tjdql4hpneyhnads7rn5llzfhm5t7z8wzk7,1
stars1ax62wt454gwj3a3vzlk8xx2x03gn9w0shhtkk5,1
stars125n4hrr20ts0pp0nqpu8yhpakvs8qyerk75geg,1
stars1f5422vy9ptha77t463wpudxlr3q9wj2tvy4f3l,1
stars10q5x550c8npnu7k7hhul4ht8nq8lhn9t6zw3uh,1
stars1wr2uxg578rwyxfsf3k7dwnhnwhspvqrc69cyxu,1
stars1y08k53p3r47q6crv2a3qfjvlfspyasxy2d3gy8,1
stars1zxmky65ht2tmvhswxqk7vkw8tpnj7vlpt6gkcp,1
stars12djkeawr043udjv2eed5g8rev85w3jxrvkfxpm,1
stars1me47ahvz7695fu5kt2jp98wh55v6ylm4sc4cus,1
stars1ez9tnyhh08myyzshackc5aemwq4fv7gzdqukq9,1
stars15jru8c993essudkqwu8xcmul0dpkas9653ll7z,1
stars1sjkg6mj0xqdnagxyrehnsn3vq7lg52rcax0nx9,1
stars1r25cvjrmgywym6jdrp7flhf3z4s0k9mxhkn6dq,1
stars1cvg5dsprer8c7xl0cl966qq0emnjthtwwh4994,1
stars1sl2e4rx3utfmtkyyk3jxe494m5r0n5dcgxyfrm,1
stars13dmykysee3qnlkky6srnus0qjnh8akpw38vk3w,1
stars1dnl83rxxgg29d7zgwam9sldnr6chtftdvdcvq0,1
stars1958ex963n93nhmvcrtlwwtr0c9qmvewhsyalzw,1
stars1c7ncsyl8yne2jrrdnghuptyhxu9m4wk53k39tv,1
stars1xx33y2exg8s4vjusr4v2gye3upv4ethdfprmvr,1
stars19c57m42ugzjhcdrd8qepql8ue2c97lhw00ksfv,1
stars1ut5jsw823mmvr5huqtz7evft6rplxc8a5gtwma,1
stars1xh9ry0u6cnjq979zpt644fjf8heaclg9jxkstg,1
stars1c08tg5mgqp5u4ynvm38ap3msz7hrgvuz6f625q,1
stars17wkmzg6t3xqwpr9x847k3y2gm2nrw9cqmejkr7,1
stars19m7yzr6srxsz4q7099paywpj9hu8rgmevn9yrl,1
stars1qkjcqvwclse06h5zvznhnp9ngvzz74z5pst5sr,1
stars1aptm96zt5xq4kf6q386e0mf23j33sekdd53ree,1
stars1xhewcgc9jprgmv4j8aqfp8d52dqd3n45j9mzyq,1
stars1ug0q84hh5k0rkxw8c3c5n7pwss86klaqda76ua,1
stars1hwvj0a8hmtlq8593qthsu0r748y4kek2fy9cyh,1
stars1lsghu2xcaddsy23fta9gq06cv64wgqx973rgxh,1
stars18xllr6vfl5qqndyw4m85wny259y064rrawwlgg,1
stars1hyz6tax54evcfv4m4h3s7hpfjx6vp8g89fveg0,1
