owner_addr,token_id,is_listed,is_in_pool,is_staked,dao_address
stars1edgslduhd2wpaanlh6gt7z7slzcs7tnr905usn,124,False,False,False,
stars1aqgxlf2et9d8utrjpgpy6gzm0t9xd8s2nxtft8,125,False,False,False,
stars1u794t987fv4cers0qr8z7jl3rhkz0sg3jveflh,126,False,False,False,
stars1l5erelxrd89cr35e9rzktzqrx4wtvntn0dxnp0,127,False,False,False,
stars17jz5xqxy9c5jm3jkhgfs6p6t5ch2pdejzh3d3d,128,False,False,False,
stars1cdnkl2dgnlxwvfzm5pyu4m073evs8nm9jx4rvq,129,False,False,False,
stars1fuw09hfg2gpk5tzcueh0nx054k87jsepq2hahg,130,False,False,False,
stars1fuw09hfg2gpk5tzcueh0nx054k87jsepq2hahg,131,False,False,False,
stars1sle7pxe2m4g0fphvrtyzvek3wqs2509faj4pvx,132,False,False,False,
stars1qyfhmkmphr9vsfjgrgvch65vklec3k5ycv7g7l,133,False,False,False,
stars1azes8zlagztlwps95mplm39vwpld08d45ejsww,134,False,False,False,
stars1kmenxkyzgn68ld2s3cse4fly7p3xnswa4tvh9y,135,False,False,False,
stars1kmenxkyzgn68ld2s3cse4fly7p3xnswa4tvh9y,136,False,False,False,
stars120wkrp6926lxx90fnl9h7rrk23ltju2tcx4z52,137,False,False,False,
stars120wkrp6926lxx90fnl9h7rrk23ltju2tcx4z52,138,False,False,False,
stars17h9ylpu8dtunv3zpdn4vxnpwkw0h5wapn0p29f,139,False,False,False,
stars1uk945dx6xay4m23qczcctf0gzdwfz8cjgfyn5g,140,False,False,False,
stars1k79t3f6rlmx4pa6tel7rux64826cns7ug5cffl,141,False,False,False,
stars1e4qkfvwy4qjn4c0s273kn5p5xk6fe93sccfv2p,142,False,False,False,
stars1z9r97htdqtgnulcuxenxfdt6hhv7twj67t2fvv,143,False,False,False,
stars1f3cqss2xwav7wxu993cfj4lldtvqs33lwudlqs,144,False,False,False,
stars1s8g7dgcp8p58mmam5ql2l0xws54244g34g6ga7,145,False,False,False,
stars1s8g7dgcp8p58mmam5ql2l0xws54244g34g6ga7,146,False,False,False,
stars1s8g7dgcp8p58mmam5ql2l0xws54244g34g6ga7,147,False,False,False,
stars1s8g7dgcp8p58mmam5ql2l0xws54244g34g6ga7,148,False,False,False,
stars1lhhw23aljdf92zkk5ez8ma9kvzygjyxyhnmcsp,149,False,False,False,
