wallet,nfts held,10 or more,AKT distro
stars1uj5wn54fuk9hf4esl6yhhqszqg2vdjw27gmctl,3,0, 2.052 
stars1jsl39dn5swpa6rmx3lfpydyg72dg0dqgkp9gk9,3,0, 2.052 
stars1ftkdaf64j80fvdxc93n489djm0hd3830xs6ksf,3,0, 2.052 
stars19s4gu54h5c6sh8hx4cs6ydupkdut85elfpfxwl,3,0, 2.052 
stars17drl3u8mxy8nyz5fcrudnf5cjagst7kv0kafdv,3,0, 2.052 
stars1cxrr8e8ac76llvd5vfcjnap7jd0nnnejjwzm3u,3,0, 2.052 
stars1pw9gjw2tfemev933n24zsjnwarnd6rm55xr3x2,3,0, 2.052 
stars1uvelw7wxdsnulwcwhtxv5gwhu53nluuqwftutn,3,0, 2.052 
stars1fj8d32l98legw3l23ag5gl6ulc64akfrkwyuhc,3,0, 2.052 
stars1qkjcqvwclse06h5zvznhnp9ngvzz74z5pst5sr,3,0, 2.052 
stars1uv8udvgfkf0se6s5qtpnvdef8na222lyf8x6e0,3,0, 2.052 
stars1r0a6pwt3gvlzlfjndmrdsxq9qpycj9zzm2qy35,3,0, 2.052 
stars1edwg4xwka78khecqv7ja20cha9nhqd9drkw9vf,3,0, 2.052 
stars1cvg5dsprer8c7xl0cl966qq0emnjthtwwh4994,3,0, 2.052 
stars1xuwl7x8htyl26t7pe3l0x6auj3j9jwd2k26qx5,3,0, 2.052 
stars1mdsgxavm5nhee2mmxkvlxe687xul776pvg30rt,2,0, 1.368 
stars1pujpfg34u8vfyal66g073efcdy33rhuzv40r3c,2,0, 1.368 
stars1ljd6d8quzfn4zev99unxnz5x89frev3vtgy59c,2,0, 1.368 
stars1nprfmp9yqlmej34vhlqcw2xdk6gtzddadjnhtz,2,0, 1.368 
stars1haql8s8dnn02nz5xjrwmamhskquz3aheqsjafq,2,0, 1.368 
stars159d3sf8pj3a9pmmchgadfquegymu3c3fyvn2py,2,0, 1.368 
stars1n5ccr6zjrqp78gyc07jvmspx39x2xmt84qttf7,2,0, 1.368 
stars18gemsrqaavhlhtmalgu782kt75qjtnylcw8jmp,2,0, 1.368 
stars14trvm9aqra67uykhquxrykffr8zrnmq53sknc4,2,0, 1.368 
stars17dc8ppd32w2lvah9hhcls6dksl7cma90mkeyhl,2,0, 1.368 
stars1znjj0ck2xlu9h9a5txe43ckwx25vu6svmqrtcd,2,0, 1.368 
stars1pw4j58t52qe265q3j99h3fpgz5zkxej6qcydev,2,0, 1.368 
stars12mcpgjumqzuaysnjrj0dcdgxaeunnmer2adq64,2,0, 1.368 
stars10f5p8e60fxpy2pws90rfc768ct4rswk3hnglzv,2,0, 1.368 
stars15hxq8y8w6hwpjxxzqk63uh97258jv2xdh25wk4,2,0, 1.368 
stars1d3fu8pyz7adyr44fv3f920rr4ym60r9qmx6fm3,2,0, 1.368 
stars1mglvavjesfqw5pynkgzhu5qhfllr8ufmyepd9v,2,0, 1.368 
stars1zxp8vsjazw944pyccr7rhvxdatl7dj3keswhfy,2,0, 1.368 
stars1qjyhwltp3h5qg5d2a3rarvhfudpm35mjlkgzph,2,0, 1.368 
stars1mnpgyz4lmnenhr85cjun6v2zx0rc562e6fmlz5,2,0, 1.368 
stars1wryt0g4g7h8eldzankzpx55kraljjepxs9hguc,2,0, 1.368 
stars1km4ce0jeu6xqe0qd0pj22q9k3dzav7njsaln3v,2,0, 1.368 
stars1t970zha2gy7tzqz57mgpr08l22fexzwa8ackm8,2,0, 1.368 
stars16chv643q7dhz4dxt2jpedkw4xg0hcvez36jth5,2,0, 1.368 
stars1eu63507y6zpk87xs99dsvmxdc5cjmgwvgj6qms,2,0, 1.368 
stars1k2udl7s6zcyh2qun6077zxwh2vfw7f79glm940,2,0, 1.368 
stars1k9w7kl5t2e869l55x6v0jem67j39rv2q7vflxt,2,0, 1.368 
stars1fcc74g3elt6sn8ng43dt9x33eygszv4zuwgk4d,2,0, 1.368 
stars1zsrxgvyez7e4kgwtenwlz6hr7e7ld5u057048m,2,0, 1.368 
stars1yapj782cpsx9u2nd4fv7yvqrumv9jlzrzcd6zp,2,0, 1.368 
stars1cxyjsjj7qjkh9gearccn563hwujrqdew7aqdh5,2,0, 1.368 
stars1l72ayh6xpge306s6jwr6l5dflrj35kfkq3ddys,2,0, 1.368 
stars1elcpqhr4t53fkg4ae6r7g8c84f54rgd5h9kt0x,2,0, 1.368 
stars1j2q6x22gep0ed8rqs3vpft6wfhuc3ql47yffs2,2,0, 1.368 
stars1cyu8ct822xqv2jr53h6s6wsakmn8u2sf7xau83,2,0, 1.368 
stars18n8s344fyxjevxzzqgx024gjmansdfgtpxwl62,2,0, 1.368 
stars1hdsmz2kqftgk2ypa5t62aauvl0y3c2nf7tqh76,2,0, 1.368 
stars1x0ast793mef7hgvxa6qmnn794fqgpynetugxjp,2,0, 1.368 
stars10fprvst2txczh7gkeakjrxe9jr7y2uzqzfsz93,2,0, 1.368 
stars13up3r5wyheycdu4vc8quvdpxapt3dp74pglt7d,2,0, 1.368 
stars10m0rgyr00qq33dfq3p99s4kz3kcppkuw5qv3jt,2,0, 1.368 
