address,balance
osmo1yfgvyv3jxact4l6vkdfs0kdtsfvkd0chmyfeku,155.482537
osmo1y2q2aw0tf5ax76n46ay79q9rhlq5d6kme0saaz,2.0
osmo1y2rfrgh374gd40gj0yusjasw2paaysah3rusdt,28.86
osmo1yvpg8ar9ycd80vxyxyzcvwvjuq6xaq803cw9a8,4.0
osmo1yv0m06j0mgfd07mnja4j34kg5s3aryga0ga294,2.0
osmo1yvsp4fvj6wwh9wwdqrj4l86nf2sz4czg9axzlx,35.52
osmo1yvjzddtyg5jt2vruea0wgyqae9dwqy3dkg9z5d,48.753627
osmo1yv6khhphkesw4tdn4ppa54alecq25cl6u0vvs9,2.0
osmo1ydj98tcyax0hey6qldm8mrfe20ml644xvgv2uq,11.875025
osmo1ywctnwt286uenaude55z6ac2f70dlwt7vw27cq,203.923614
osmo1y099aycmsx7fr3f5yu0ndkrctatn6dx9xqqxvf,35.52
osmo1y08k53p3r47q6crv2a3qfjvlfspyasxyk249ey,35.52
osmo1y3gjlu3rskpqghcrmt9l3uf2ytjzwah406kek0,2.22
osmo1y3mkt7czrjn9pkmttaf43yfuf5gz0yhl8er0dl,42.18
osmo1yjpuqyt44u4wshvn00qdkvkflyzu3zqqrwcv07,2.0
osmo1yjx5qht3mhc7tz0fvfx2r092qv6cg9w6yq72vk,55.251541
osmo1yj2vkr3fzj0maxx0n0skcv922s03mpt272cza6,1.746965
osmo1yjh55mu7j58s8z9p604ltjefg36nls293mvtpw,5035.344203
osmo1yjanfn3atg7g25xvruup3zh9mz4we8y5yqznzd,2.0
osmo1yn2a8zgywvjqnlqnplc2ldrnljsjhescxs2n9p,33.204045
osmo1ync9v46466mglkx6dqz465ekd4ca6t50xxtxky,35.52
osmo1y5eqrhudwkc2uquaz3v429zuqsw4nhjmj5fc99,103.0
osmo1ykh0uv0rqcnv3cdajqlr2ftrjx4f47dh8ev2dz,566.66
osmo1ykeqverjpdr587kluq0c7jtw5d3x77hmssyct2,35.52
osmo1yku4qlw2ca55kk2sthxlqkgw73ml84l3ufw0kk,35.52
osmo1yhs2k5fnmvxm633d8w0anl9d88lavvfj4cwmep,7.215
osmo1yclrw2qxzmyjxjry0fwusdurhkqgdag85334l2,2.0
osmo1yeyafzl0nczpdwx2q2wkwkez7za7uwt2px3s25,4.0
osmo1y6qages3tlalv9vjx2zlmxjlhtad4z8xr5je8v,42.18
osmo1y6603qh08ttze6vaqr3ucmclq4xxj88x6gz5x8,13.32
osmo1yugsyk8ps5rs0nc5477r32uvnwspvkeqke2mym,24.42
osmo1y7zfelflwnm9aaldd9xp5x4p8azn8vddweawqp,53.3
osmo1ylqadkzy98mjd6gzcu9j9m89lsr52pc3dadrjj,200.46225
osmo1yl3ypsvuymcj9a4myh0m9sm537wu70cg5wsn8n,2.0
osmo1ylm75gruqyhfg5dkeh4k53xsfqlumzr272864j,989.946228
osmo19qypu6hpwpyqmd24xufq8zkua3fmrhaprtva4t,2.0
